number_roles_to_fill,dept_name,title,number_of_mentors,qualified_mentor_dept,qualified_mentor_title
13881,Development,Senior Engineer,13881,Development,Senior Engineer
11848,Production,Senior Engineer,11848,Production,Senior Engineer
10225,Sales,Senior Staff,10225,Sales,Senior Staff
3753,Customer Service,Senior Staff,3753,Customer Service,Senior Staff
3581,Marketing,Senior Staff,3581,Marketing,Senior Staff
3516,Human Resources,Senior Staff,3516,Human Resources,Senior Staff
3449,Research,Senior Staff,3449,Research,Senior Staff
3352,Finance,Senior Staff,3352,Finance,Senior Staff
3101,Quality Management,Senior Engineer,3101,Quality Management,Senior Engineer
2110,Development,Technique Leader,2110,Development,Technique Leader
1898,Production,Technique Leader,1898,Production,Technique Leader
446,Quality Management,Technique Leader,446,Quality Management,Technique Leader
322,Research,Senior Engineer,322,Research,Senior Engineer
263,Customer Service,Senior Engineer,263,Customer Service,Senior Engineer
200,Production,Senior Staff,200,Production,Senior Staff
178,Development,Senior Staff,178,Development,Senior Staff
26,Research,Technique Leader,26,Research,Technique Leader
22,Customer Service,Technique Leader,22,Customer Service,Technique Leader
1,Research,Manager,1,Sales,Manager
